From Bank,Account,To Bank,Account.1,Amount Received,Amount Paid,Payment Format,Year,Month
010,8000VTK25,010,8000XFS72,399.31,256.87,Cash,2023,11
03208,8000KUH45,010,8000HAY30,172.08,116.46,Bitcoin,2022,10
03208,8000XNH76,010,8000LXO94,255.61,469.32,Cheque,2022,2
010,8000GXZ89,03208,8000YQP40,115.04,262.49,Wire,2023,1
03208,8000ISX64,03208,8000FQK11,104.72,477.71,Credit Card,2022,4
03208,8000CLP99,03208,8000VDT17,498.51,389.09,Wire,2022,4
03208,8000MWG85,03208,8000MLB38,295.28,467.33,Bitcoin,2021,5
03208,8000ASK86,03208,8000XEZ23,248.81,429.31,Cash,2022,12
03208,8000AMW23,03208,8000LJF30,178.47,358.76,Cash,2021,5
03208,8000WEO29,010,8000NZE39,422.88,127.18,Cash,2021,6
03208,8000ULC35,010,8000CKM41,382.3,435.53,Wire,2023,5
010,8000YCO75,03208,8000AYF14,100.62,377.13,Cheque,2021,12
010,8000VOZ65,010,8000NMB67,408.49,483.2,Credit Card,2021,11
03208,8000LPK52,010,8000PAR65,144.59,156.89,Cash,2021,2
010,8000EEP64,010,8000SSG56,479.45,135.11,ACH,2023,6
010,8000CTW98,03208,8000QLU06,233.09,307.55,Wire,2023,1
010,8000XYO37,010,8000BMV30,280.44,243.97,Cash,2022,7
010,8000HVW85,010,8000NUX86,101.99,484.11,Bitcoin,2022,7
010,8000YPL69,03208,8000CVM63,429.76,381.51,Reinvestment,2021,5
03208,8000XUC64,010,8000LUN94,223.27,278.4,Bitcoin,2022,3
010,8000QVG71,010,8000CNR44,322.58,176.88,Credit Card,2021,9
03208,8000FUI81,010,8000MFR21,470.64,277.15,Wire,2022,8
03208,8000DSB59,03208,8000GAP84,162.49,286.51,Bitcoin,2023,4
010,8000NRA66,010,8000CUU52,446.93,103.66,Reinvestment,2022,11
010,8000OKJ90,03208,8000LNH26,300.1,202.89,Bitcoin,2023,9
03208,8000AYE12,010,8000BUQ96,469.78,198.15,ACH,2021,10
03208,8000UYA41,03208,8000FAD46,428.94,252.41,Bitcoin,2022,11
03208,8000GFQ31,03208,8000BHW03,277.19,269.62,Credit Card,2021,6
03208,8000NBC91,03208,8000PFJ28,135.48,207.01,Bitcoin,2021,2
010,8000JTV91,03208,8000RRS72,112.08,145.06,ACH,2021,7
03208,8000RZB68,03208,8000OCI10,449.69,155.47,Credit Card,2021,5
010,8000IGP41,010,8000XJU11,289.71,375.28,Wire,2021,11
03208,8000MKO53,03208,8000FAN37,365.48,482.36,Wire,2022,11
010,8000JVG50,010,8000YLN31,452.66,237.94,Credit Card,2023,12
03208,8000TIB22,03208,8000XLQ92,221.86,157.11,Credit Card,2023,12
03208,8000YJH39,03208,8000IPB43,458.31,204.02,ACH,2022,2
010,8000QQS34,03208,8000YGS81,111.01,160.87,Reinvestment,2022,3
03208,8000QAF32,03208,8000XRF73,211.97,177.9,Bitcoin,2022,9
03208,8000QJW54,010,8000EMC27,424.71,364.86,Cash,2023,7
010,8000KSK60,03208,8000SRD41,441.29,253.97,ACH,2023,10
010,8000LGE54,010,8000QVP62,477.93,200.18,Cash,2023,11
03208,8000OTW43,010,8000PYR88,221.2,332.46,Bitcoin,2022,6
010,8000MVW81,03208,8000SKH27,412.09,459.13,Bitcoin,2022,11
03208,8000ZQC79,010,8000DFE95,494.05,109.77,Bitcoin,2022,7
03208,8000KRI27,03208,8000GUY39,310.8,338.69,ACH,2022,5
03208,8000AVN01,010,8000ZNG57,201.04,368.8,Credit Card,2022,7
03208,8000QWH91,03208,8000XMU12,115.58,273.27,ACH,2023,10
03208,8000WKC24,010,8000PWW16,403.86,468.14,ACH,2022,9
010,8000UWD56,010,8000KHX21,155.54,168.07,Credit Card,2022,7
03208,8000JWH00,03208,8000ZBB54,254.78,104.63,Bitcoin,2022,7
010,8000ROY99,03208,8000EPN61,223.71,436.12,Credit Card,2023,7
03208,8000BTS67,010,8000BYK52,266.74,258.31,Bitcoin,2021,2
03208,8000XQJ52,03208,8000HHT23,462.4,431.96,Wire,2023,5
03208,8000PAD37,03208,8000NOT34,270.38,498.15,Cash,2023,8
03208,8000SIQ01,010,8000TRY30,465.1,146.03,Wire,2022,7
010,8000ZHK52,010,8000KTS17,422.16,433.02,ACH,2022,12
03208,8000MGB15,010,8000UBJ47,215.35,404.21,Wire,2021,11
010,8000BKI40,03208,8000CUE86,227.24,410.62,Reinvestment,2023,1
010,8000XMV93,010,8000HZB00,247.94,275.8,ACH,2022,7
03208,8000MSL37,010,8000NUA93,342.26,343.64,Cash,2023,2
03208,8000XXQ39,03208,8000FWZ81,369.63,199.06,Cheque,2023,10
010,8000QBC70,03208,8000XQZ87,488.89,112.66,ACH,2023,10
03208,8000AKN44,03208,8000HHV72,470.61,391.11,Wire,2023,3
010,8000PRK39,03208,8000MQR07,344.75,155.53,Credit Card,2021,8
03208,8000GUL30,03208,8000UUH62,118.5,219.86,Reinvestment,2022,12
010,8000WSX46,010,8000FTW41,318.12,121.41,Cheque,2021,8
010,8000DKF09,03208,8000LCL69,261.46,326.3,Cash,2023,10
010,8000FDF35,010,8000SAU82,317.91,442.89,Reinvestment,2021,5
010,8000DZZ14,03208,8000VKC92,116.07,129.15,Wire,2023,9
010,8000RWM93,03208,8000EYF64,498.3,256.85,Wire,2023,9
03208,8000MMR26,03208,8000JKQ26,122.78,433.02,Bitcoin,2023,5
03208,8000FIZ88,010,8000OXS01,209.07,409.86,ACH,2023,2
